Country,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Polio,Total Expenditure,Diphtheria,HIV/AIDS,GDP,Thinness 1-19 Years,Thinness 5-9 Years,Income Composition of Resources,Schooling,Under Five Deaths,Freedom on Happiness,GDP per Capita on Happiness,Generosity on Happiness,Government Corruption on Happiness,Happiness Rank,Happiness Score,Life Expectancy on Happiness,Social Support on Happiness,Region,Population,Area,gini,Real Growth Rating(%),Literacy Rate(%),Inflation(%),Unemployement(%),Developed,Developing,Happiness Status,Total Immunized Disease(%)
Cambodia,64.34375,196.375,16.75,1.39375,33.79656098,52.75,473.375,15.3625,76.9375,5.669375,77.8125,0.93125,466.196878,10.14375,10.88125,0.4919375,9.875,20.5,0.88103752,0.293054883,0.401134181,0.126287239,128.6,0.297951141,0.448705242,0.532980333,6,15626444,181035,37.9,7,73.6,3.2,0,0,1,1,69.16666667
Cameroon,54.01875,294.875,52.6875,3.883125,44.46229994,77.5,569,23.61875,75.25,4.711875,75.0625,1.7,781.0160044,6.55,6.60625,0.47,8.90625,66,0.603822859,0.277509405,0.248015573,0.090749083,109.8,0.394562645,0.176492921,0.518261341,8,22709892,475442,38.9,4.6,75.9,2.6,30,0,1,1,75.9375
Canada,81.6875,64.625,2,7.550625,910.3176854,26.0625,129.5,55.8625,88,6.89875,91.0625,0.1,9354.791425,0.50625,0.4375,0.8921875,15.875,2,0.843859368,0.742011089,0.46487232,0.554159742,6.8,0.91757289,0.789270404,0.843924452,5,36155487,9984670,32.6,3.5,98,2.8,4.5,0,1,2,68.375
Central African Republic,48.5125,321.3125,16.5,1.155,40.90554311,42.25,393.75,17.0875,52,4.074375,53.0625,1.7,363.0559048,7.10625,7.0875,0.3355,6.2375,24.5,0.445314933,0.017172113,0.29001769,0.096236287,153.25,0.086928674,0.043988319,0,8,4998000,622984,56.3,14.5,56.6,7,8,0,1,3,49.10416667
Chad,50.3875,227.75,44.875,0.38625,32.2773205,23.4375,517.3125,16.31875,52,4.393125,53,1.7,484.7916941,7.14375,7.04375,0.316625,6.1,66,0.245420449,0.204203338,0.230443257,0.106463692,138.6,0.258156021,0.083168224,0.488960568,8,14497000,1284000,39.8,3.9,35.4,4.5,30,0,1,1,42.8125
Chile,79.45,63.625,2,6.5425,524.2382788,83.875,1.0625,55.5875,89,6.766875,91.5625,0.1,5268.137395,0.8875,0.9125,0.8013125,14.9,2.1875,0.548095381,0.627190744,0.324611081,0.160347876,24.4,0.767612288,0.740557354,0.731674569,3,18191900,756102,52.1,3.5,97.5,2.8,4.5,0,1,2,88.14583333
China,74.2625,73.75,55,3.92125,73.5837629,80.4375,831,21.80625,93.6875,4.898125,93.3125,0.1,2345.303158,4.6375,4.025,0.66025,11.4375,66,0.703833621,0.536367096,0.059003501,0.101847865,85,0.497635917,0.698616214,0.628758809,2,1377422166,9640011,47,3.6,99.7,2.2,,0,1,1,
Colombia,73.2875,124.25,13.875,4.14375,468.6426709,79,9.5,49.54375,86.9375,6.23125,84.75,0.1,3321.660748,2.3,2.075,0.681875,12.23125,16.375,0.679695419,0.530750843,0.164014996,0.081483844,36,0.718479108,0.588674483,0.792342206,3,48759958,1141748,55.9,3.5,94.2,2.8,4.5,0,1,0,83.5625
Comoros,61.58125,240.9375,1.6875,0.126875,47.73145762,67.375,57.5625,18.25625,76.1875,4.8175,75.5,0.28125,630.3843341,7.275,7.1625,0.324625,9.95625,2,0.241846225,0.140432695,0.251413409,0.278650505,140,0.24993432,0.341209465,0.436528792,8,806153,1862,64.3,3.5,75.5,6.1,30,0,1,3,73.02083333
Costa Rica,78.59375,69.375,1,3.68,657.9185493,79.3125,0.1875,46.725,80.8125,8.36875,85.25,0.1,3957.227286,1.9625,1.90625,0.7369375,12.8375,1,0.816613715,0.553599665,0.234373544,0.183148191,12.6,0.873364852,0.72940215,0.799976113,3,4890379,51100,50.7,3.5,96.3,5.6,7.9,0,1,2,81.79166667
Croatia,76.11875,89,0,11.65,717.4492899,95.6875,23.6875,52.35625,95.5,7.1975,95.375,0.1,7785.485958,1.74375,1.71875,0.7890625,13.8875,0,0.394937097,0.615960222,0.173202359,0.061032817,74,0.544838457,0.674071608,0.58385803,1,4190669,56594,33.7,1,98.9,2.2,21.6,1,0,0,95.52083333
Cyprus,79.675,54.125,0,9.62,620.4323971,92.625,1.9375,53.1625,98,6.625,98,0.1,7008.227136,0.90625,1,0.8330625,13.51875,0,0.520967276,0.681500428,0.297991006,0.08370132,62.2,0.598857354,0.800714233,0.625974851,9,847000,9251,31.81621622,8.7,98.7,0.2,17.4,1,0,0,96.20833333
Denmark,79.25625,66.0625,0,10.039375,882.7175786,99,15.75,55.825,90.6875,7.6125,90.75,0.1,8450.746733,1.1625,0.9375,0.899875,17.16875,0,0.86458473,0.746607987,0.380486277,0.777978318,2.2,0.956067763,0.758325245,0.880589002,9,5717014,43094,24,0.1,99,0.8,6,1,0,2,93.47916667
Djibouti,60.75625,274.6875,1.4375,0.716875,98.83844812,54.8125,113.875,26.25,75.4375,6.91625,75.5625,1.7,897.9998706,5.84375,5.7,0.4184375,5.38125,1.875,0.636381215,0.235331449,0.215887558,0.509231578,126,0.330181235,0.318063103,0.360139903,8,900000,23200,40,5,67.9,2.5,59,0,1,1,68.60416667
Dominican Republic,72.34375,143.5,6.4375,5.654375,360.0206934,65.125,23,48.14375,78.3125,4.67625,83.1875,1.1875,3509.499186,3.46875,3.375,0.685,12.74375,7.8125,0.753287247,0.534499203,0.202766503,0.212717745,86.6,0.493774619,0.563157536,0.779975268,3,10075045,48671,47.2,2,90.1,5,15,0,1,1,75.54166667
