Country,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Polio,Total Expenditure,Diphtheria,HIV/AIDS,GDP,Thinness 1-19 Years,Thinness 5-9 Years,Income Composition of Resources,Schooling,Under Five Deaths,Freedom on Happiness,GDP per Capita on Happiness,Generosity on Happiness,Government Corruption on Happiness,Happiness Rank,Happiness Score,Life Expectancy on Happiness,Social Support on Happiness,Region,Population,Area,gini,Real Growth Rating(%),Literacy Rate(%),Inflation(%),Unemployement(%),Developed,Developing,Happiness Status,Total Immunized Disease(%)
Malaysia,73.75625,118.5625,3.3125,0.460625,248.8850281,96,549.4375,29.16875,96.375,3.801875,96.4375,0.1,4904.938992,8.6125,8.40625,0.749125,12.5625,4.125,0.604092537,0.646740045,0.413590334,0.124810461,53,0.632584711,0.607078778,0.689066428,6,31405416,330803,46.2,4.7,93.1,2.2,3.1,0,1,0,96.27083333
Mali,54.9375,202.125,54.25,0.41125,48.98117698,69.375,362.3125,17.2125,68.125,6.4025,67.875,1.625,530.5121701,7.075,6.35,0.3651875,6.48125,66,0.459840813,0.192952063,0.208567021,0.171390352,129.2,0.300630409,0.175050951,0.67129725,8,18135000,1240192,33,4.8,33.4,0.1,30,0,1,1,68.45833333
Malta,80.3625,60.75,0,6.685,609.5171918,82.125,2.1875,66.18125,89.4375,8.346875,89.3125,0.1,6602.719702,0.75,0.7125,0.8111875,14.30625,0,0.815292003,0.687258686,0.574082299,0.274488981,27.6,0.756698182,0.77043019,0.843580495,9,425384,316,31.81621622,2.4,92.4,1,6.4,1,0,2,86.95833333
Mauritania,62.8,159.9375,7.8125,0.013125,31.70314712,52.75,311.6875,22.475,68.5625,3.976875,68.75,1.1875,635.049609,6.48125,6.81875,0.4730625,7.31875,11.9375,0.182380675,0.30398647,0.21184974,0.243560365,125,0.32742315,0.299996368,0.656268957,8,3718678,1030700,40.5,6.4,58.6,4.6,30,0,1,1,63.35416667
Mauritius,72.7125,163.5625,0,2.725625,422.2395243,96.1875,54.3125,25.98125,96.5,4.529375,96.3125,0.10625,5299.579824,7.46875,7.4125,0.722625,13.53125,0,0.716949538,0.593417507,0.37416304,0.101256203,62.6,0.593695825,0.611989038,0.698384549,8,1262879,2040,39.8,3.5,88.8,3.5,8.3,0,1,0,96.33333333
Mexico,75.71875,111.0625,39.625,4.795,462.8597455,94.4375,11,51.41875,95.0625,5.981875,95,0.1,5179.330807,1.73125,1.66875,0.728875,12.325,46.5,0.603212709,0.576962028,0.124590361,0.25273835,21.4,0.794365642,0.676222436,0.658755737,3,122273473,1964375,47,1.25,93.5,4,4.9,0,1,2,94.83333333
Mongolia,65.8875,222.125,1.5625,2.2075,126.378364,97.4375,214.125,39.79375,97.5625,5.144375,97.375,0.1,1984.688023,2.28125,2.3875,0.6620625,12.66875,1.9375,0.52544861,0.503104788,0.358954495,0.058854628,95.6,0.460244276,0.518344169,0.843241026,2,3093100,1564110,36.5,11.8,97.4,8.2,9,0,1,1,97.45833333
Montenegro,74.5,92.75,0,2.4303125,455.049824,33.6875,0.625,50.4875,74.875,7.243125,75.4375,0.1,4676.514277,2.1375,2.1875,0.58375,11.94375,0,0.272016314,0.560400383,0.187148137,0.188198871,81.4,0.512017329,0.635934211,0.672223418,1,621810,13812,30,1.5,98.5,4,19.1,0,1,0,61.33333333
Morocco,72.15625,95.1875,21.375,0.486875,102.9896583,87.25,608.125,48.61875,96.9375,5.39,97.1875,0.1,1936.391438,6.45625,6.3125,0.5855,10.2875,24.875,0.541306169,0.431212162,0.049270033,0.147583187,88,0.488416073,0.570194683,0.411285211,4,33337529,446550,40.9,5.1,68.5,2,9.9,0,1,1,93.79166667
Mozambique,53.39375,226.25,55,1.1875,37.03415152,65.1875,421.8125,16.14375,71.75,5.886875,72.5625,1.7,365.0682381,3.80625,3.71875,0.3608125,7.9875,66,0.637486565,0.096135189,0.282766436,0.286036847,113.25,0.375886525,0.16673191,0.575571931,8,26423700,801590,45.7,7,56.1,4.4,17,0,1,1,69.83333333
Myanmar,64.2,154.3125,50.5,0.33,12.82456364,54.6875,589.8125,17.125,78.75,2.174375,77.875,0.475,616.1843573,13.13125,13.425,0.48825,8.325,62.5625,0.686901115,0.253512299,0.86332714,0.337586275,124.6,0.332939315,0.396631476,0.594537219,6,51419420,676578,36.7,6.8,92.7,5.7,5.2,0,1,1,70.4375
Namibia,60.4,308.5,2.875,4.416875,359.9300794,84.25,334.8125,28.225,81.25,7.22375,83.5,1.7,3042.603507,10.5875,10.625,0.5883125,11.55,3.8125,0.665208407,0.487808863,0.082356499,0.143649767,114,0.367218267,0.334807584,0.668505293,8,2324388,825615,63.9,4,88.8,5.8,51.2,0,1,1,83
Nepal,66.48125,147.25,29.125,0.17875,40.16206428,53.5,750.8125,15.175,77.25,5.80875,79.25,0.15625,395.3284679,14.6,15,0.494375,10.43125,38.125,0.596200538,0.230606132,0.402268494,0.133762949,105.6,0.417533478,0.488974721,0.631966333,7,28431500,147181,32.8,3.6,57.4,9.5,46,0,1,1,70
Netherlands,81.13125,61.625,1,8.294375,944.5247108,16.4375,127.625,53.96875,96.8125,6.9825,96.8125,0.1,9820.391864,1.025,0.9625,0.89975,17.05625,1,0.814434941,0.754243537,0.495361258,0.541056268,6.2,0.928211183,0.769999321,0.82095246,9,17019800,41850,30.9,0.8,99,2.5,8.3,1,0,2,70.02083333
New Zealand,81.3375,71.5,0,9.16625,792.8802742,70.1875,94.9375,56.625,89.125,8.60875,81.625,0.1,7099.654421,0.3125,0.3,0.8911875,18.6,0,0.853290644,0.704262014,0.516427458,0.724783643,8.2,0.910165488,0.781435531,0.875747582,0,4697854,270467,36.2,2.5,99,1.3,6.43,1,0,2,80.3125
Nicaragua,73.45,162.375,3.0625,3.3725,183.6629076,91.875,0,42.68125,90.9375,6.5975,91.875,0.225,957.9039711,1.96875,1.875,0.6035,11.1125,3.6875,0.671304377,0.362032427,0.306787333,0.268803965,46.8,0.656895192,0.628109721,0.726066388,3,6262703,130373,40.5,4.6,78,5.7,7.2,0,1,0,91.5625
Niger,56.98125,232.4375,52.25,0.08625,19.09936861,66.4375,679.1875,16.3625,59.125,6.45375,60.3125,1.1625,259.782441,9.025,8.9125,0.298125,4.99375,66,0.532869806,0.067675534,0.237507062,0.241968055,133.8,0.278092971,0.247886943,0.488074818,8,20715000,1267000,34.6,5.165909091,19.1,6.1,30,0,1,1,61.95833333
Nigeria,51.35625,248.5,55,8.106875,85.44427533,35.125,823.0625,19.75,53.125,3.76625,53.6875,1.7,1360.139877,10.41875,10.36875,0.367375,9,66,0.526196841,0.382224913,0.274788527,0.061575824,90.4,0.479590216,0.098346316,0.614120497,8,186988000,923768,48.8,6.2,61.3,8.7,23.9,0,1,1,47.3125
Norway,81.79375,66.25,0,6.234375,755.880832,99,6.3125,50.8125,93.0625,8.805625,90.6875,0.1,7225.168758,0.7625,0.7,0.9314375,17.46875,0,0.881282483,0.812170465,0.392554824,0.623200824,2.8,0.955082749,0.76541043,0.870483401,9,5223256,323802,25.8,1.6,100,1.9,3.6,1,0,2,94.25
Oman,74.84375,67.75,1,0.501875,382.586984,98.8125,10.875,44.78125,98.5,2.984375,98.75,0.1,5554.336861,7.025,6.825,0.7155,12.225,1,0.873950276,0.727033861,0.257041385,0.58929898,22,0.819542944,0.668501315,0.658041363,4,4420133,309500,36.7,5.1,86.9,1.6,15,0,1,2,98.6875
Pakistan,64.5,154,55,0.025,26.1203906,66.5,803.1875,18.3125,69.8125,3.01,70.875,0.1,666.1110516,10.8,11.075,0.500875,6.71875,66,0.317529078,0.357016761,0.334100349,0.209740018,79,0.522261618,0.399433441,0.370334634,7,194125062,881912,30,3.6,54.9,7.7,6.6,0,1,0,69.0625
Panama,76.4875,115.875,1.125,5.824375,475.1242524,79.875,0.25,49.3125,87.4375,7.526875,85.625,0.125,5183.913295,2.08125,2.01875,0.74825,12.775,1.6875,0.744308518,0.613795568,0.222103454,0.13223675,27.6,0.757486211,0.680125528,0.783553838,3,3814672,75417,51.9,7.5,94.1,4.1,4.5,0,1,2,84.3125
Paraguay,73.1125,139.9375,3.1875,5.1825,229.7906944,82.875,0,39.525,83.375,6.6425,89.625,0.1375,1983.404335,2.2,2.11875,0.6561875,12.16875,3.6875,0.698852981,0.457151566,0.278139888,0.145475137,64,0.585815598,0.563572427,0.841869207,3,6854536,406752,52.4,12,93.9,2.3,6.6,0,1,0,85.29166667
Peru,73.6625,122.4375,11.8125,4.011875,417.0786996,80.1875,0.375,44.86875,85.5,4.90625,86.5,0.29375,2928.543542,1.21875,1.21875,0.70325,13.30625,15.125,0.614636154,0.515878104,0.142447776,0.080034457,63,0.597990544,0.616700458,0.672616835,3,31488700,1285216,48.1,3.5,94.2,2.8,4.5,0,1,0,84.0625
Philippines,67.575,217.9375,54.75,4.229375,89.55657083,62.125,672.375,19.1875,80.875,3.94875,82.0625,0.1,1397.136107,1,9.69375,0.6504375,11.54375,66,0.817736098,0.42305557,0.214100946,0.199920963,76.8,0.530811649,0.471430159,0.702292892,6,103279800,342353,43,6.8,95.4,2.8,7.4,0,1,0,75.02083333
Poland,75.65,107.5625,2.25,9.374375,296.8417894,97.375,47.4375,53.73125,96.75,6.268125,98.75,0.1,6122.051852,2.20625,2.3625,0.8131875,15.25,2.6875,0.699575169,0.646279532,0.165972218,0.097997067,49,0.647714733,0.672057029,0.809980775,1,38437239,312679,34.1,1.3,99.7,1,10.3,1,0,0,97.625
Portugal,79.99375,58.875,0.1875,11.40125,713.5004798,87.625,7.25,43.63125,96.5,7.743125,97,0.1,7214.723609,0.71875,0.5375,0.805,15.9375,0.375,0.699012514,0.658570482,0.107675954,0.030388814,82.8,0.514499605,0.762079499,0.767647569,9,10374822,92090,38.5,0.4,95.4,0.7,10.2027027,1,0,0,93.70833333
Qatar,77.03125,75.375,0,1.014375,693.9849316,95.0625,96.25,65.65,95.875,2.72625,92.5,0.1,8411.757408,4.95625,4.5875,0.828375,12.85,0,0.834342813,0.932073509,0.347482884,0.644985326,32,0.734594165,0.673734985,0.711500837,4,2587564,11586,41.1,5.5,96.3,3.1,0.3,0,1,0,94.47916667
Romania,74.05,156.0625,2.8125,8.40875,416.9314997,91.8125,310.5625,52.25,94.75,5.235625,95,0.1,4258.940054,3.16875,3.50625,0.762625,13.925,3.25,0.598012084,0.610320571,0.136238358,0.008576725,62.8,0.592080364,0.645237215,0.634428381,1,19861408,238391,30,0.4,99,0.7,10.2027027,1,0,0,93.85416667
Rwanda,59.3125,246.8125,20.75,5.284375,20.19135344,95,289.0625,14.75,91.1875,6.24125,92.125,1.375,300.0180171,6.63125,6.65625,0.4176875,9.2875,32.0625,0.803329794,0.172152601,0.270036885,0.857871759,152,0.146887298,0.365944752,0.479594528,8,11553188,26338,50.8,7.5,71.1,5.9,30,0,1,3,92.77083333
Saudi Arabia,73.46875,52.125,8.625,0.070625,674.9549548,96.8125,410.8125,55.3125,96.8125,3.966875,96.875,0.1,7753.356415,7.35625,7.36875,0.782625,13.2875,10,0.576594081,0.769477825,0.147300873,0.419543859,33.4,0.725571306,0.583885772,0.718600681,4,32248200,2149690,36.7,3.6,87.2,3.7,10.5,0,1,0,96.83333333
Senegal,62.56875,174.1875,22.3125,0.290625,21.48642622,78.3125,300.3125,18.44375,78.6875,4.916875,81.375,0.53125,274.6111661,8.09375,7.9875,0.4325625,7.125,36.625,0.484586262,0.231608805,0.208556209,0.17879743,121,0.335106367,0.394975084,0.630297069,8,14799859,196722,39.2,4,49.7,0.8,48,0,1,1,79.45833333
Serbia,73.95625,130.4375,1,8.140625,464.744738,90.3125,73.8125,52.1375,94.625,6.09875,93.3125,0.1,3674.542408,2.39375,2.425,0.7416875,13.53125,1.0625,0.314078875,0.534884472,0.212583769,0.069744625,78.8,0.521315989,0.628211161,0.709625279,1,7076372,88361,27.8,2,98,2.2,20.1,0,1,0,92.75
Sierra Leone,47.51875,340.5625,27.5625,2.958125,29.10557859,74.5,410.6875,18.30625,73,8.61125,73.625,1.375,271.5055613,7.68125,7.1,0.3618125,8.23125,41.875,0.469046323,0.169717773,0.295174218,0.122815378,116.4,0.367651689,0.043394348,0.513606575,8,7075641,71740,42.5,13.3,43.3,11.1,30,0,1,1,73.70833333
Singapore,81.475,62,0,1.7625,804.0248616,95.875,85.75,25.90625,96.125,3.745,96.1875,0.1,9781.581606,2.125,2.06875,0.866875,13.98125,0,0.764381373,0.851061972,0.361799526,0.846615493,28,0.758431833,0.888857563,0.748831431,6,5535000,710,48.1,4.1,95.9,5.2,1.9,1,0,2,96.0625
Slovakia,74.75,118.0625,0,9.819375,0,98.5625,0.25,51.81875,98.4375,7.2025,98.625,0.1,47.5432354,1.34375,1.425,0.8033125,14.35,0.125,0.424098747,0.666041034,0.162955428,0.042032524,41.4,0.672852637,0.677024174,0.839261465,1,5426252,49037,26,0.8,99.6,1.7,14.4,1,0,0,98.54166667
Slovenia,79.73125,76.4375,0,10.083125,631.3764341,99,6.0625,52.2,95.1875,8.589375,95,0.1,6484.707846,1.76875,1.79375,0.8604375,16.475,0,0.803802709,0.673804956,0.252318442,0.082386251,55,0.629432614,0.74753869,0.828649492,1,2064188,20273,31.2,1.1,99.7,1.8,13.1,1,0,0,96.39583333
Somalia,53.31875,316.75,49.875,0.01,0,42,631.6875,18.6875,52,4.6,53,0.8375,94.40513097,7.26875,7.08125,0,12.9,66,0.829733065,0.003025925,0.311690812,0.519201647,94.75,0.466361301,0.134016025,0.375194853,8,11079000,637657,39.8,2.6,37.8,6.1,30,0,1,1,49
South Africa,57.5,398.375,48.6875,7.115,615.5944719,66.5,389.1875,38.15,70.9375,8.074375,73.0625,1.7,4869.427044,9.01875,10.425,0.6290625,12.89375,62.125,0.591476999,0.523780048,0.150022912,0.129187548,108.2,0.390504325,0.254000012,0.765328301,8,55653654,1221037,63.1,5.165909091,93,6.1,30,0,1,1,70.16666667
South Sudan,53.875,346.3125,27.75,0.01,8.241076938,31,216.1875,58.5,63.25,2.873125,59.375,1.7,1385.472746,1,0.9,0.1316875,4.9,43.25,0.160801946,0.191657971,0.289550646,0.201094161,150,0.135835294,0.173815952,0.299500171,8,12131000,619745,45.5,5.165909091,27,6.1,30,0,1,3,51.20833333
Spain,82.06875,63.625,1.625,9.398125,743.0971301,92.5,240.875,58.66875,96.75,8.290625,96.75,0.1,7927.928082,0.6,0.5,0.8505625,16.35625,1.875,0.567608075,0.694265232,0.2014267,0.126565598,34.6,0.720724971,0.832697739,0.851256801,9,46438422,505992,34.7,1.3,97.7,1.8,26.3,1,0,0,95.33333333
Sri Lanka,73.4,144.375,4,1.965625,59.75360089,79.625,260.1875,17.275,98.375,3.823125,98.4375,0.1,1040.11019,14.6,15,0.7251875,13.21875,4.75,0.735260568,0.500893317,0.458174553,0.123963677,123,0.334830567,0.60583012,0.694143113,7,20966000,65610,40.3,6.3,91.2,4.7,5.1,0,1,1,92.14583333
Sudan,61.825,240.3125,55,1.3675,97.69844267,56.625,651.125,58.5,77.8125,5.626875,78.0625,0.25,1192.797953,1,0.9,0.441,6.375,66,0.045513072,0.32289943,0.205144921,0.189721839,129.5,0.305112279,0.278109295,0.651966023,8,39598700,1886068,35.3,3.9,71.9,25,20,0,1,1,70.83333333
Suriname,70.08125,166,0,4.673125,496.5819514,84.5625,0,50.15625,81.0625,6.53375,82.5625,0.75625,4781.216822,3.5125,3.45625,0.4810625,11.825,0,0.772727901,0.559182803,0.200793447,0.238489971,40,0.704491721,0.489715162,0.532439173,3,541638,163820,52.9,4.7,94.7,4.2,9,0,1,0,82.72916667
Swaziland,51.325,309.0625,2.625,4.185,278.0997131,76,49.125,25.5,89,7.139375,86.5,1.7,2165.090838,6.475,6.63125,0.5156875,10.35,3.6875,0.42788674,0.407068617,0.153082929,0.150024461,118,0.363770676,0.033155127,0.675742092,8,1132657,17364,51.5,5.165909091,88.8,6.1,30,0,1,1,83.83333333
Sweden,82.51875,59.1875,0,6.494375,936.996197,47.375,18.9375,56.25,98.3125,9.551875,98.3125,0.1,9019.840733,1.35,1.30625,0.893125,15.86875,0,0.853012182,0.750484929,0.40152944,0.720229287,8.6,0.911386914,0.787897486,0.832466201,9,9894888,450295,25,0.9,99,0,8.1,1,0,2,81.33333333
Switzerland,82.33125,55.75,0,9.6925,995.640381,99,303.625,51.4375,95.375,5.98875,94.5625,0.1,10682.78591,0.5375,0.39375,0.9110625,15.39375,0,0.857240491,0.786931213,0.331034576,0.688089466,3.6,0.949251377,0.813600577,0.8621243,9,8341600,41284,33.7,2,99,0.4,3.2,1,0,2,96.3125
Tajikistan,66.65625,177.5625,10.6875,0.310625,17.27719246,78.75,120.125,33.1125,88.3125,5.5825,89.25,0.25625,335.8417252,3.80625,3.85,0.5838125,10.68125,12.75,0.568731135,0.253429241,0.275802863,0.221118351,92.8,0.473758853,0.51712798,0.626169498,1,8593600,143100,30.8,7.4,99.7,3.7,2.5,0,1,1,85.4375
Thailand,73.08125,160.375,12.125,5.74875,401.2599634,97,736.75,21.59375,98.3125,3.81,98.1875,0.3875,3494.781702,8.54375,8.7,0.6946875,12.55,14.125,0.780765396,0.561274863,0.58667366,0.05392645,39.4,0.70795901,0.62574742,0.798248474,6,65327652,513120,40,2.9,93.5,2.2,0.7,0,1,0,97.83333333
Togo,56.6625,311.3125,14.1875,0.88875,23.70560409,50.3125,298.1875,17.99375,72.75,5.203125,77.3125,1.6,317.2040921,7.86875,7.7375,0.4459375,10.65,21.4375,0.502413298,0.142118783,0.208543623,0.182944689,148.2,0.167691078,0.252873895,0.19681661,8,7143000,56785,34.4,5.5,60.4,2.2,30,0,1,3,66.79166667
Trinidad and Tobago,71.06875,163.375,0,5.6675,424.5046528,48.6875,0,37.73125,84.5,5.161875,80.25,0.60625,5326.131177,6.1375,6.50625,0.753375,12.33125,0.25,0.719153197,0.694707686,0.383054928,0.019794783,40.66666667,0.684594178,0.485215686,0.719679343,3,1349667,5130,40.3,1.6,98.8,5.4,5.9,0,1,0,71.14583333
Tunisia,74.35625,18.75,3.25,1.229375,366.7412605,96.75,33.1875,48.25625,97.6875,5.961875,97.6875,0.1,3044.081488,6.40625,6.3375,0.692625,14.05625,3.6875,0.338643837,0.501039317,0.060224517,0.126833414,108.4,0.400985012,0.605067844,0.463539107,4,11154400,163610,41.4,2.8,79.1,6.1,17.2,0,1,1,97.375
Turkey,73.9125,98.375,26.9375,1.333125,241.0318352,87.0625,452,56.4125,86.1875,5.554375,86.25,0.1,3837.74082,5.0125,4.85,0.7033125,12.675,32.25,0.355464254,0.615274742,0.096719975,0.215836488,75.2,0.53632781,0.615338406,0.717912795,4,78741053,783562,39,3.8,94.1,7.6,9.3,0,1,0,86.5
Turkmenistan,64.61875,214.8125,6.5625,2.489375,187.7819876,97.125,15.125,38.11875,95.5625,2.939375,96.375,0.1,2511.61154,3.3375,3.3625,0.211625,10.1375,8.0625,0.574434235,0.559922261,0.259734458,0.332438383,69.8,0.569188332,0.454100978,0.830778487,1,4751120,488100,40.8,12.2,99.6,9,60,0,1,0,96.35416667
Uganda,55.70625,281.875,55,7.548125,47.69210835,59.125,682.9375,15.525,68.25,8.295625,67.75,1.7,421.0484963,6.2625,6.25625,0.4453125,10.59375,66,0.591985071,0.170373097,0.333728076,0.114206925,138,0.261465704,0.251094234,0.648616513,8,33860700,241550,44.3,5.6,73.2,6.2,30,0,1,1,65.04166667
Ukraine,69.9375,205.75,5.0625,6.909375,169.4273302,54.625,461.4375,50.89375,81.9375,6.64125,79.5625,0.5375,1577.293329,2.575,2.675,0.7165625,14.60625,5.9375,0.233092479,0.446832223,0.238747432,0.033313211,127.4,0.318006301,0.558121639,0.780346419,1,42692393,603700,26.4,0.4,99.7,0.7,8,0,1,1,72.04166667
United Arab Emirates,75.7,67.0625,1,1.64125,673.1897303,93.875,75.625,53.80625,95.0625,3.134375,94.625,0.1,7455.061599,5.18125,4.96875,0.8195625,12.8125,1,0.832204858,0.819201118,0.343982258,0.565277656,22.5,0.796641041,0.677252024,0.695453198,4,9856000,83600,36.7,4,90,1.3,2.4,0,1,2,94.52083333
Uruguay,76.075,119.9375,0.5625,5.7875,454.1915071,94.3125,0,52.925,94.25,8.490625,91.875,0.1,5997.088916,1.6,1.54375,0.765625,15.23125,0.75,0.794169131,0.607001693,0.201666144,0.341570862,30.6,0.736446016,0.686178234,0.800067867,3,3480222,181034,39.7,3.5,98.1,8.3,6.5,0,1,0,93.47916667
Uzbekistan,68.03125,184.8125,21.9375,1.50875,44.37345026,91.4375,206.4375,34.80625,98.5625,5.573125,98.4375,0.20625,651.0923589,3.14375,3.175,0.603,11.64375,25.6875,0.906060404,0.38687807,0.390803528,0.484542126,45,0.660598899,0.518601688,0.872323498,1,31576400,447400,36.7,7,99.4,10.1,4.9,0,1,0,96.14583333
Yemen,63.8625,211.8125,39.375,0.045,0,55.6875,540.3125,33.4875,69.875,4.98,72.625,0.1,47.5432354,13.83125,13.75,0.4755,8.50625,51.625,0.337257934,0.261557443,0.115656741,0.121479017,146.4,0.18376673,0.320280616,0.526428497,4,27478000,527968,37.7,3.8,65.3,11.8,35,0,1,3,66.0625
Zambia,54.0875,313.1875,33.4375,2.1,89.65040685,73.625,444.375,17.45,75.3125,5.7475,79.8125,1.7,811.8118405,6.88125,6.7625,0.4984375,11.2125,51.75,0.638257871,0.305629593,0.260632983,0.176363375,114,0.372616221,0.265347221,0.567142007,8,15933883,752612,54.6,6,61.4,7.1,15,0,1,1,76.25
Zimbabwe,50.78125,359.375,26.5625,4.2025,20.36427146,70.5625,316.375,25.1375,78.4375,6.06125,78.0625,1.7,410.9801938,7.0125,6.9875,0.439125,9.825,40.8125,0.44648735,0.183909353,0.202140222,0.163064768,134.8,0.258786435,0.240493208,0.612972738,8,14240168,390757,39.8,5.165909091,88.8,6.1,30,0,1,1,75.6875
